sum_fields 0 {'seconds': {'median_paired_ratio': 0.9906033846176705, 'bootstrap_95_interval': [0.9059989068916696, 1.0128069972423515], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9824797843665768, 1.0082758620689656], 'signal': 'inconclusive'}}
sum_fields 1 {'seconds': {'median_paired_ratio': 0.9977961914736709, 'bootstrap_95_interval': [0.9355556285436073, 1.0262835006749123], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9931506849315068, 1.0], 'signal': 'inconclusive'}}
regex_fields 0 {'seconds': {'median_paired_ratio': 0.9634442513042091, 'bootstrap_95_interval': [0.9351494341197546, 1.0679037813872156], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9976798143851509, 1.0], 'signal': 'inconclusive'}}
regex_fields 1 {'seconds': {'median_paired_ratio': 0.9821352733896194, 'bootstrap_95_interval': [0.9292613860300121, 1.0325252420045614], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9976798143851509, 1.0023148148148149], 'signal': 'inconclusive'}}
array_aggregation 0 {'seconds': {'median_paired_ratio': 1.0059885456629787, 'bootstrap_95_interval': [0.9818120190920111, 1.0209298363580122], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9905149051490515, 1.0082079343365253], 'signal': 'inconclusive'}}
array_aggregation 1 {'seconds': {'median_paired_ratio': 0.9430149583275285, 'bootstrap_95_interval': [0.8616595163053582, 1.037635318053597], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9905149051490515, 1.0013661202185793], 'signal': 'inconclusive'}}
mixed_fields 0 {'seconds': {'median_paired_ratio': 1.0191114240608048, 'bootstrap_95_interval': [0.9175998916891436, 1.04036507326775], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.99055330634278, 1.0149863760217983], 'signal': 'inconclusive'}}
mixed_fields 1 {'seconds': {'median_paired_ratio': 1.0045119180286974, 'bootstrap_95_interval': [0.9749456795834744, 1.0682937667490142], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9839142091152815, 1.0095367847411445], 'signal': 'inconclusive'}}
mixed_aggregation 0 {'seconds': {'median_paired_ratio': 0.9927785868534796, 'bootstrap_95_interval': [0.9461936070216306, 1.0236683576463443], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9893190921228304, 1.0], 'signal': 'inconclusive'}}
mixed_aggregation 1 {'seconds': {'median_paired_ratio': 1.0179532272517984, 'bootstrap_95_interval': [0.9619022611056119, 1.1283776294561767], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9906417112299465, 1.014765100671141], 'signal': 'inconclusive'}}
utf8_dynamic_boolean 0 {'seconds': {'median_paired_ratio': 0.9919797611141651, 'bootstrap_95_interval': [0.8878734646755139, 1.0675145213408523], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0], 'signal': 'inconclusive'}}
utf8_dynamic_boolean 1 {'seconds': {'median_paired_ratio': 0.9504331058207576, 'bootstrap_95_interval': [0.9158132914257129, 1.0263672019972583], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0], 'signal': 'inconclusive'}}
utf8_match_mixed 0 {'seconds': {'median_paired_ratio': 0.9845968107193898, 'bootstrap_95_interval': [0.891001488658182, 1.123547547543927], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9977753058954394, 1.0], 'signal': 'inconclusive'}}
utf8_match_mixed 1 {'seconds': {'median_paired_ratio': 0.9793070927486983, 'bootstrap_95_interval': [0.9429120026801124, 1.057260266425165], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9857142857142858, 1.0], 'signal': 'inconclusive'}}
utf8_gsub_expanding 0 {'seconds': {'median_paired_ratio': 0.981367508385868, 'bootstrap_95_interval': [0.9595587553115729, 1.0531847880364318], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0155555555555555], 'signal': 'inconclusive'}}
utf8_gsub_expanding 1 {'seconds': {'median_paired_ratio': 1.0046569522369748, 'bootstrap_95_interval': [0.8870151903273634, 1.0494527843152108], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0], 'signal': 'inconclusive'}}
utf8_gsub_miss 0 {'seconds': {'median_paired_ratio': 0.985164218611969, 'bootstrap_95_interval': [0.9373384228508017, 1.135652242482471], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0083532219570406], 'signal': 'inconclusive'}}
utf8_gsub_miss 1 {'seconds': {'median_paired_ratio': 1.0364244196498311, 'bootstrap_95_interval': [0.8765393269174171, 1.067872929046138], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0], 'signal': 'inconclusive'}}
utf8_match_long 0 {'seconds': {'median_paired_ratio': 0.9664012344500663, 'bootstrap_95_interval': [0.8592943652041626, 1.175469171574428], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9977876106194691, 1.033259423503326], 'signal': 'inconclusive'}}
utf8_match_long 1 {'seconds': {'median_paired_ratio': 0.9954136199170122, 'bootstrap_95_interval': [0.9003134523815991, 1.072385561902576], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9867886178861789, 1.0], 'signal': 'inconclusive'}}
utf8_empty_regex 0 {'seconds': {'median_paired_ratio': 0.9858943628085922, 'bootstrap_95_interval': [0.9630039138168355, 1.051422841588287], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0045714285714287, 'bootstrap_95_interval': [1.0, 1.0091954022988505], 'signal': 'inconclusive'}}
