sum_fields 0 {'seconds': {'median_paired_ratio': 0.9365521479279152, 'bootstrap_95_interval': [0.9113077164263526, 1.056285882558679], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9885496183206107, 1.0151515151515151], 'signal': 'inconclusive'}}
sum_fields 1 {'seconds': {'median_paired_ratio': 0.9430671983514851, 'bootstrap_95_interval': [0.7577492628354909, 1.1674172953370756], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.003921568627451, 'bootstrap_95_interval': [0.9807692307692307, 1.0196850393700787], 'signal': 'inconclusive'}}
regex_fields 0 {'seconds': {'median_paired_ratio': 0.9987911690251435, 'bootstrap_95_interval': [0.930462133541632, 1.0247986426878835], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9833333333333333, 1.0], 'signal': 'inconclusive'}}
regex_fields 1 {'seconds': {'median_paired_ratio': 0.90778257108906, 'bootstrap_95_interval': [0.7285674027589729, 1.3828844922791843], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9833333333333333, 1.0169491525423728], 'signal': 'inconclusive'}}
array_aggregation 0 {'seconds': {'median_paired_ratio': 0.979690564459013, 'bootstrap_95_interval': [0.9173480477980284, 1.1010012558416271], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9770992366412213, 1.0383141762452108], 'signal': 'inconclusive'}}
array_aggregation 1 {'seconds': {'median_paired_ratio': 0.9992285638172302, 'bootstrap_95_interval': [0.7997607157627571, 1.0413516792010802], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9630996309963099, 1.0235294117647058], 'signal': 'inconclusive'}}
mixed_fields 0 {'seconds': {'median_paired_ratio': 1.1217372982599203, 'bootstrap_95_interval': [0.9207038260615571, 1.3047925600834138], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9850187265917603, 1.018939393939394], 'signal': 'inconclusive'}}
mixed_fields 1 {'seconds': {'median_paired_ratio': 0.9596198289683682, 'bootstrap_95_interval': [0.8228696049810721, 1.1687926100466928], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9850187265917603, 'bootstrap_95_interval': [0.9501779359430605, 1.0269230769230768], 'signal': 'inconclusive'}}
mixed_aggregation 0 {'seconds': {'median_paired_ratio': 1.1683058093352916, 'bootstrap_95_interval': [1.0230794969542858, 1.5565034769337218], 'signal': 'slower'}, 'rss_bytes': {'median_paired_ratio': 1.015209125475285, 'bootstrap_95_interval': [0.9850187265917603, 1.0269230769230768], 'signal': 'inconclusive'}}
mixed_aggregation 1 {'seconds': {'median_paired_ratio': 0.9724606740929838, 'bootstrap_95_interval': [0.6983220171317174, 1.2910262916722783], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9887640449438202, 'bootstrap_95_interval': [0.956989247311828, 1.0411985018726593], 'signal': 'inconclusive'}}
utf8_dynamic_boolean 0 {'seconds': {'median_paired_ratio': 0.9321359275414394, 'bootstrap_95_interval': [0.6690365957253602, 1.4547654856352612], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9876160990712074, 'bootstrap_95_interval': [0.937125748502994, 1.0], 'signal': 'inconclusive'}}
utf8_dynamic_boolean 1 {'seconds': {'median_paired_ratio': 1.011061173061071, 'bootstrap_95_interval': [0.7481606797021934, 1.1527898609771516], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9754601226993865, 'bootstrap_95_interval': [0.940809968847352, 1.0364238410596027], 'signal': 'inconclusive'}}
utf8_match_mixed 0 {'seconds': {'median_paired_ratio': 0.9435671661579028, 'bootstrap_95_interval': [0.7289613967500556, 1.087743833793928], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9937106918238994, 'bootstrap_95_interval': [0.9544072948328267, 1.0125786163522013], 'signal': 'inconclusive'}}
utf8_match_mixed 1 {'seconds': {'median_paired_ratio': 0.921343635223324, 'bootstrap_95_interval': [0.8074019409964023, 1.0869040611638325], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9622641509433962, 'bootstrap_95_interval': [0.9622641509433962, 0.9935064935064936], 'signal': 'faster'}}
utf8_gsub_expanding 0 {'seconds': {'median_paired_ratio': 1.0244377402321942, 'bootstrap_95_interval': [0.7405148553659437, 1.085153512282957], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9623824451410659, 1.0390879478827362], 'signal': 'inconclusive'}}
utf8_gsub_expanding 1 {'seconds': {'median_paired_ratio': 0.9885399743615638, 'bootstrap_95_interval': [0.8807452454107915, 1.0875461064748115], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9623824451410659, 1.0390879478827362], 'signal': 'inconclusive'}}
utf8_gsub_miss 0 {'seconds': {'median_paired_ratio': 0.9719564287546762, 'bootstrap_95_interval': [0.9227596724070929, 1.2199439073550369], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9419354838709677, 1.0445205479452055], 'signal': 'inconclusive'}}
utf8_gsub_miss 1 {'seconds': {'median_paired_ratio': 1.0655106241362764, 'bootstrap_95_interval': [0.8066845827672428, 1.1511551105225195], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9777070063694268, 1.0286624203821657], 'signal': 'inconclusive'}}
