sum_fields 0 {'seconds': {'median_paired_ratio': 0.999590046999694, 'bootstrap_95_interval': [0.9851547417408265, 1.005983211759332], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9978969505783386, 1.0021074815595363], 'signal': 'inconclusive'}}
sum_fields 1 {'seconds': {'median_paired_ratio': 0.9985122261624695, 'bootstrap_95_interval': [0.9914859701057557, 1.0047991023498382], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0021074815595363], 'signal': 'inconclusive'}}
regex_fields 0 {'seconds': {'median_paired_ratio': 0.9994912602500756, 'bootstrap_95_interval': [0.984410788561407, 1.0141518473618851], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0], 'signal': 'inconclusive'}}
regex_fields 1 {'seconds': {'median_paired_ratio': 0.9981877893699862, 'bootstrap_95_interval': [0.9920314422316171, 1.0040801156680794], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9972997299729973, 1.0], 'signal': 'inconclusive'}}
array_aggregation 0 {'seconds': {'median_paired_ratio': 0.9978155518807704, 'bootstrap_95_interval': [0.9958604211680405, 1.0062803096131827], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0010526315789474], 'signal': 'inconclusive'}}
array_aggregation 1 {'seconds': {'median_paired_ratio': 1.0030830401729365, 'bootstrap_95_interval': [0.9931759739009746, 1.0055846983675232], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9989484752891693, 1.0], 'signal': 'inconclusive'}}
mixed_fields 0 {'seconds': {'median_paired_ratio': 1.0006206340876356, 'bootstrap_95_interval': [0.9902473865790373, 1.0058526029886536], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9989484752891693, 1.0], 'signal': 'inconclusive'}}
mixed_fields 1 {'seconds': {'median_paired_ratio': 0.999909623855107, 'bootstrap_95_interval': [0.9933413995786734, 1.0037554849647083], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9989484752891693, 'bootstrap_95_interval': [0.9957939011566772, 1.0], 'signal': 'inconclusive'}}
mixed_aggregation 0 {'seconds': {'median_paired_ratio': 1.0004057967902404, 'bootstrap_95_interval': [0.9970740551522422, 1.0034333729121632], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0021097046413503], 'signal': 'inconclusive'}}
mixed_aggregation 1 {'seconds': {'median_paired_ratio': 0.9996512108125004, 'bootstrap_95_interval': [0.991206574499117, 1.0047885266304581], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9989484752891693, 1.0031645569620253], 'signal': 'inconclusive'}}
utf8_dynamic_boolean 0 {'seconds': {'median_paired_ratio': 0.9997052195499159, 'bootstrap_95_interval': [0.9906061640214833, 1.0074433017171869], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.001602564102564], 'signal': 'inconclusive'}}
utf8_dynamic_boolean 1 {'seconds': {'median_paired_ratio': 0.9969452344188318, 'bootstrap_95_interval': [0.9945283785558329, 1.0089791499687126], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9976, 1.0], 'signal': 'inconclusive'}}
utf8_match_mixed 0 {'seconds': {'median_paired_ratio': 0.9992649102054593, 'bootstrap_95_interval': [0.9933835835097328, 1.0090116533742048], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0008103727714748], 'signal': 'inconclusive'}}
utf8_match_mixed 1 {'seconds': {'median_paired_ratio': 1.0040765596464598, 'bootstrap_95_interval': [0.9916487364344386, 1.0120707276121816], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9991896272285251, 1.0], 'signal': 'inconclusive'}}
utf8_gsub_expanding 0 {'seconds': {'median_paired_ratio': 1.001937357622072, 'bootstrap_95_interval': [0.9926476106277287, 1.0069693095766732], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9967611336032388, 1.0008103727714748], 'signal': 'inconclusive'}}
utf8_gsub_expanding 1 {'seconds': {'median_paired_ratio': 1.0010342866165471, 'bootstrap_95_interval': [0.9986796107225603, 1.0039791794320423], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0008103727714748], 'signal': 'inconclusive'}}
utf8_gsub_miss 0 {'seconds': {'median_paired_ratio': 0.9941232544038698, 'bootstrap_95_interval': [0.9916248605750201, 1.0004933574988084], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9966749792186201, 1.0], 'signal': 'inconclusive'}}
utf8_gsub_miss 1 {'seconds': {'median_paired_ratio': 1.0042102833691275, 'bootstrap_95_interval': [0.9970512592888098, 1.016910023791412], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.99833748960931, 1.0], 'signal': 'inconclusive'}}
utf8_match_long 0 {'seconds': {'median_paired_ratio': 0.99295442599815, 'bootstrap_95_interval': [0.9865139665810844, 1.008939651186157], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0024350649350648], 'signal': 'inconclusive'}}
utf8_match_long 1 {'seconds': {'median_paired_ratio': 1.0011330976347594, 'bootstrap_95_interval': [0.9785376394713051, 1.0312767575378237], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0], 'signal': 'inconclusive'}}
utf8_empty_regex 0 {'seconds': {'median_paired_ratio': 0.999859634943149, 'bootstrap_95_interval': [0.9960492137381316, 1.0021201607579808], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0033361134278564], 'signal': 'inconclusive'}}
utf8_empty_regex 1 {'seconds': {'median_paired_ratio': 0.9993515041584098, 'bootstrap_95_interval': [0.9961382242090645, 1.0043832140196354], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0008319467554077], 'signal': 'inconclusive'}}
short_file 0 {'seconds': {'median_paired_ratio': 1.0003652610948714, 'bootstrap_95_interval': [0.9957786062828661, 1.0012660730995833], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0], 'signal': 'inconclusive'}}
short_file 1 {'seconds': {'median_paired_ratio': 0.9997894735283624, 'bootstrap_95_interval': [0.9986062468253837, 1.0021921261850932], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9978947368421053, 1.001054852320675], 'signal': 'inconclusive'}}
long_1048576_file 0 {'seconds': {'median_paired_ratio': 0.9958974511139354, 'bootstrap_95_interval': [0.9867184026257537, 1.0078641525569747], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9995450409463148, 1.0], 'signal': 'inconclusive'}}
long_1048576_file 1 {'seconds': {'median_paired_ratio': 0.9992824082353526, 'bootstrap_95_interval': [0.9864731445345474, 1.0134025770163095], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0004553734061932, 'bootstrap_95_interval': [0.9995448338643604, 1.0022810218978102], 'signal': 'inconclusive'}}
long_4194304_file 0 {'seconds': {'median_paired_ratio': 0.990618121183646, 'bootstrap_95_interval': [0.9717248147575863, 1.0171604640487208], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9995030644359781, 1.00049710024855], 'signal': 'inconclusive'}}
long_4194304_file 1 {'seconds': {'median_paired_ratio': 1.0066576412463863, 'bootstrap_95_interval': [0.9921770068601131, 1.020372726359073], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0001656726308814], 'signal': 'inconclusive'}}
long_8388608_file 0 {'seconds': {'median_paired_ratio': 0.9997593728644762, 'bootstrap_95_interval': [0.9905603650572625, 1.0174838674533258], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9997311105135789, 1.0001793239487133], 'signal': 'inconclusive'}}
long_8388608_file 1 {'seconds': {'median_paired_ratio': 0.9906135270929836, 'bootstrap_95_interval': [0.9819155129605761, 1.004474857107785], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.999820740342386, 'bootstrap_95_interval': [0.9987451823967016, 1.0], 'signal': 'inconclusive'}}
long_pipe 0 {'seconds': {'median_paired_ratio': 1.0045065281705705, 'bootstrap_95_interval': [0.986332852598325, 1.009222760830242], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0001656726308814, 'bootstrap_95_interval': [1.0, 1.0006629101756712], 'signal': 'inconclusive'}}
long_pipe 1 {'seconds': {'median_paired_ratio': 0.9986575438221915, 'bootstrap_95_interval': [0.9879764090133267, 1.0045039077766496], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9998343822457767, 1.0003314001657], 'signal': 'inconclusive'}}
long_getline 0 {'seconds': {'median_paired_ratio': 1.0000455068836251, 'bootstrap_95_interval': [0.9484526165990128, 1.046942450312832], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0039904229848364, 'bootstrap_95_interval': [0.9960254372019078, 1.0039904229848364], 'signal': 'inconclusive'}}
long_getline 1 {'seconds': {'median_paired_ratio': 0.9926775135491439, 'bootstrap_95_interval': [0.9673830527028368, 1.0081578716052244], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9992019154030327, 1.0039904229848364], 'signal': 'inconclusive'}}
unterminated 0 {'seconds': {'median_paired_ratio': 0.9824282356531039, 'bootstrap_95_interval': [0.9684809697262106, 1.0394395122868647], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9997307001795332, 1.0001795493311787], 'signal': 'inconclusive'}}
