sum_fields 0 {'seconds': {'median_paired_ratio': 1.0029633260359103, 'bootstrap_95_interval': [0.9625252323913829, 1.0375318290629134], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0068787618228718, 'bootstrap_95_interval': [0.9974380871050385, 1.0216450216450217], 'signal': 'inconclusive'}}
sum_fields 1 {'seconds': {'median_paired_ratio': 0.9942721052239833, 'bootstrap_95_interval': [0.963930222980851, 1.0101849139038912], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.994052676295667, 'bootstrap_95_interval': [0.9707357859531772, 1.0034423407917383], 'signal': 'inconclusive'}}
regex_fields 0 {'seconds': {'median_paired_ratio': 1.0015699760762586, 'bootstrap_95_interval': [0.980964505945509, 1.0072451975466739], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9840695148443157, 'bootstrap_95_interval': [0.9779411764705882, 1.0367591897974493], 'signal': 'inconclusive'}}
regex_fields 1 {'seconds': {'median_paired_ratio': 0.9982490933611847, 'bootstrap_95_interval': [0.9902230087715306, 1.0093399152826716], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9868131868131869, 'bootstrap_95_interval': [0.9707977207977208, 1.0214655810510733], 'signal': 'inconclusive'}}
array_aggregation 0 {'seconds': {'median_paired_ratio': 0.9928632389559946, 'bootstrap_95_interval': [0.9776592558957701, 1.035546622936078], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.001725625539258, 'bootstrap_95_interval': [0.978920741989882, 1.0240963855421688], 'signal': 'inconclusive'}}
array_aggregation 1 {'seconds': {'median_paired_ratio': 0.9741946298205826, 'bootstrap_95_interval': [0.9654610797016234, 0.9893660079410619], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9889643463497453, 1.018739352640545], 'signal': 'inconclusive'}}
mixed_fields 0 {'seconds': {'median_paired_ratio': 1.004677462949775, 'bootstrap_95_interval': [0.9374741480514751, 1.0249753128186754], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9983235540653814, 'bootstrap_95_interval': [0.9838022165387894, 1.0169204737732656], 'signal': 'inconclusive'}}
mixed_fields 1 {'seconds': {'median_paired_ratio': 1.017183132545001, 'bootstrap_95_interval': [1.0088704956309846, 1.057072828037526], 'signal': 'slower'}, 'rss_bytes': {'median_paired_ratio': 0.9939550949913645, 'bootstrap_95_interval': [0.9672818791946308, 1.0137103684661526], 'signal': 'inconclusive'}}
mixed_aggregation 0 {'seconds': {'median_paired_ratio': 0.990351042287504, 'bootstrap_95_interval': [0.9863726126331029, 1.0295831027922582], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0051635111876076, 'bootstrap_95_interval': [0.9957228400342173, 1.0187713310580204], 'signal': 'inconclusive'}}
mixed_aggregation 1 {'seconds': {'median_paired_ratio': 0.9962604728966552, 'bootstrap_95_interval': [0.9837209077518231, 1.0055391446494826], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9887737478411054, 'bootstrap_95_interval': [0.9715956558061821, 1.0172711571675301], 'signal': 'inconclusive'}}
utf8_dynamic_boolean 0 {'seconds': {'median_paired_ratio': 1.0068653893784234, 'bootstrap_95_interval': [0.9928113911199006, 1.0591046393908692], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9852448021462106, 'bootstrap_95_interval': [0.9820478723404256, 1.0060524546065905], 'signal': 'inconclusive'}}
utf8_dynamic_boolean 1 {'seconds': {'median_paired_ratio': 1.003474386486792, 'bootstrap_95_interval': [0.9913231600836531, 1.0258725995462363], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9784366576819407, 1.029655172413793], 'signal': 'inconclusive'}}
utf8_match_mixed 0 {'seconds': {'median_paired_ratio': 0.9964490492902207, 'bootstrap_95_interval': [0.9870118880047756, 1.0104694004377062], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9993364299933643, 'bootstrap_95_interval': [0.9838926174496644, 1.006064690026954], 'signal': 'inconclusive'}}
utf8_match_mixed 1 {'seconds': {'median_paired_ratio': 0.989454261957995, 'bootstrap_95_interval': [0.9767940872047927, 1.0078662290901244], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.016846361185984, 'bootstrap_95_interval': [0.9946559786239145, 1.0446122168840082], 'signal': 'inconclusive'}}
utf8_gsub_expanding 0 {'seconds': {'median_paired_ratio': 1.0033851040145814, 'bootstrap_95_interval': [0.994253927702989, 1.0161410298142544], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.018, 'bootstrap_95_interval': [0.9827700463883366, 1.0309973045822103], 'signal': 'inconclusive'}}
utf8_gsub_expanding 1 {'seconds': {'median_paired_ratio': 0.9945570621538357, 'bootstrap_95_interval': [0.9903147511363717, 1.0015931050608262], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0142663043478262, 'bootstrap_95_interval': [0.9934725848563969, 1.0316498316498317], 'signal': 'inconclusive'}}
utf8_gsub_miss 0 {'seconds': {'median_paired_ratio': 1.003542879547061, 'bootstrap_95_interval': [0.9924290727540722, 1.0147095376242812], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.006997900629811, 'bootstrap_95_interval': [0.9763724808895066, 1.0263720598717034], 'signal': 'inconclusive'}}
utf8_gsub_miss 1 {'seconds': {'median_paired_ratio': 1.014033998784911, 'bootstrap_95_interval': [0.9976480793163638, 1.028713268032817], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9985621854780733, 'bootstrap_95_interval': [0.9770833333333333, 1.0136887608069165], 'signal': 'inconclusive'}}
utf8_match_long 0 {'seconds': {'median_paired_ratio': 1.0175312548246847, 'bootstrap_95_interval': [0.9499535939398358, 1.0542490751646407], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0206611570247934, 'bootstrap_95_interval': [1.0019986675549633, 1.0301990391214826], 'signal': 'slower'}}
utf8_match_long 1 {'seconds': {'median_paired_ratio': 1.0022216033365885, 'bootstrap_95_interval': [0.961600173339698, 1.0372384087315794], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0006830601092895, 'bootstrap_95_interval': [0.9905850706119704, 1.024556616643929], 'signal': 'inconclusive'}}
utf8_empty_regex 0 {'seconds': {'median_paired_ratio': 0.9861256673392839, 'bootstrap_95_interval': [0.9744737967473039, 1.0006750082986187], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9959100204498977, 'bootstrap_95_interval': [0.9837837837837838, 1.0103305785123966], 'signal': 'inconclusive'}}
utf8_empty_regex 1 {'seconds': {'median_paired_ratio': 0.9915350510058811, 'bootstrap_95_interval': [0.9762280803208017, 0.9984459701202494], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 0.997979797979798, 'bootstrap_95_interval': [0.9843856076035302, 1.0081632653061225], 'signal': 'inconclusive'}}
short_file 0 {'seconds': {'median_paired_ratio': 0.9920865740127601, 'bootstrap_95_interval': [0.9798742676099469, 1.0098587420454985], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9829351535836177, 'bootstrap_95_interval': [0.9740802675585284, 1.0223944875107667], 'signal': 'inconclusive'}}
short_file 1 {'seconds': {'median_paired_ratio': 0.9843395390198291, 'bootstrap_95_interval': [0.9676988031199221, 0.9944246661488403], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0008382229673094, 'bootstrap_95_interval': [0.9880034275921166, 1.0392327811682651], 'signal': 'inconclusive'}}
