sum_fields 0 {'seconds': {'median_paired_ratio': 0.9706302177117921, 'bootstrap_95_interval': [0.8955721241147805, 1.0136929520028606], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0027397260273974, 'bootstrap_95_interval': [0.9972489683631361, 1.0096685082872927], 'signal': 'inconclusive'}}
sum_fields 1 {'seconds': {'median_paired_ratio': 0.9883334717868125, 'bootstrap_95_interval': [0.8974986755849034, 1.1013704357501732], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0013812154696133, 'bootstrap_95_interval': [1.0013698630136987, 1.0096685082872927], 'signal': 'slower'}}
regex_fields 0 {'seconds': {'median_paired_ratio': 0.9576713133085649, 'bootstrap_95_interval': [0.8275286821434266, 1.106587920490754], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0035005834305717, 'bootstrap_95_interval': [1.0035005834305717, 1.0035005834305717], 'signal': 'slower'}}
regex_fields 1 {'seconds': {'median_paired_ratio': 0.9722536367352995, 'bootstrap_95_interval': [0.9462914722277999, 1.0592799944185283], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0035005834305717, 'bootstrap_95_interval': [0.9919908466819222, 1.0093348891481915], 'signal': 'inconclusive'}}
array_aggregation 0 {'seconds': {'median_paired_ratio': 0.9924210598161578, 'bootstrap_95_interval': [0.9116098810199301, 1.0192743642284787], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0027434842249656, 'bootstrap_95_interval': [1.0, 1.0027434842249656], 'signal': 'inconclusive'}}
array_aggregation 1 {'seconds': {'median_paired_ratio': 0.9891335346797069, 'bootstrap_95_interval': [0.9052181893760214, 1.1512233495483157], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0040650406504066, 'bootstrap_95_interval': [1.0, 1.0123287671232877], 'signal': 'inconclusive'}}
mixed_fields 0 {'seconds': {'median_paired_ratio': 0.9853981586383579, 'bootstrap_95_interval': [0.5886311712066282, 1.0290275044383075], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9959946595460614, 'bootstrap_95_interval': [0.9852348993288591, 1.0], 'signal': 'inconclusive'}}
mixed_fields 1 {'seconds': {'median_paired_ratio': 0.9972147626409668, 'bootstrap_95_interval': [0.9344096092272451, 1.2412771383722128], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9893333333333333, 1.0149863760217983], 'signal': 'inconclusive'}}
mixed_aggregation 0 {'seconds': {'median_paired_ratio': 1.0354395486649342, 'bootstrap_95_interval': [0.7016166925418339, 1.1643802673439778], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0013227513227514, 'bootstrap_95_interval': [0.9906417112299465, 1.0026631158455392], 'signal': 'inconclusive'}}
mixed_aggregation 1 {'seconds': {'median_paired_ratio': 0.9822818936567805, 'bootstrap_95_interval': [0.9002767995270929, 1.0574404233762076], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0026490066225167, 'bootstrap_95_interval': [0.9906417112299465, 1.0121621621621621], 'signal': 'inconclusive'}}
utf8_dynamic_boolean 0 {'seconds': {'median_paired_ratio': 1.0098892464473241, 'bootstrap_95_interval': [0.9527741681086819, 1.028632515056781], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0022805017103762, 'bootstrap_95_interval': [1.0022805017103762, 1.0022805017103762], 'signal': 'slower'}}
utf8_dynamic_boolean 1 {'seconds': {'median_paired_ratio': 0.9990206740034013, 'bootstrap_95_interval': [0.9727254849311062, 1.03350996288305], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0022805017103762, 'bootstrap_95_interval': [1.0022805017103762, 1.0022805017103762], 'signal': 'slower'}}
utf8_match_mixed 0 {'seconds': {'median_paired_ratio': 1.010091403862317, 'bootstrap_95_interval': [0.9230984169026096, 1.0487180823289635], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.011037527593819, 'bootstrap_95_interval': [1.0022346368715085, 1.019036954087346], 'signal': 'slower'}}
utf8_match_mixed 1 {'seconds': {'median_paired_ratio': 1.0259160273677004, 'bootstrap_95_interval': [0.9597389644355494, 1.6296975442025994], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0044792833146696, 'bootstrap_95_interval': [1.0033039647577093, 1.019036954087346], 'signal': 'slower'}}
utf8_gsub_expanding 0 {'seconds': {'median_paired_ratio': 0.9000878432932232, 'bootstrap_95_interval': [0.4982281981656681, 1.0032052652371029], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0044642857142858, 'bootstrap_95_interval': [0.989010989010989, 1.0044642857142858], 'signal': 'inconclusive'}}
utf8_gsub_expanding 1 {'seconds': {'median_paired_ratio': 1.036590344631469, 'bootstrap_95_interval': [0.9746613652925935, 1.0881223071816877], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0044642857142858, 'bootstrap_95_interval': [1.0044642857142858, 1.0044642857142858], 'signal': 'slower'}}
utf8_gsub_miss 0 {'seconds': {'median_paired_ratio': 1.0309205337853986, 'bootstrap_95_interval': [0.8686345670835205, 1.0798458204247579], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0023923444976077, 'bootstrap_95_interval': [0.9870435806831567, 1.0083932853717026], 'signal': 'inconclusive'}}
utf8_gsub_miss 1 {'seconds': {'median_paired_ratio': 0.9576820675344117, 'bootstrap_95_interval': [0.9005115120689222, 1.0089972770515472], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0047961630695443, 'bootstrap_95_interval': [1.0047961630695443, 1.0047961630695443], 'signal': 'slower'}}
utf8_match_long 0 {'seconds': {'median_paired_ratio': 0.9833082202994761, 'bootstrap_95_interval': [0.9148004935473095, 1.0423088150905877], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0011098779134295, 'bootstrap_95_interval': [1.0011098779134295, 1.0011098779134295], 'signal': 'slower'}}
utf8_match_long 1 {'seconds': {'median_paired_ratio': 0.9936330889483306, 'bootstrap_95_interval': [0.8705409016917587, 1.142760015341067], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0011098779134295, 'bootstrap_95_interval': [1.0011098779134295, 1.0011098779134295], 'signal': 'slower'}}
utf8_empty_regex 0 {'seconds': {'median_paired_ratio': 1.06664062102231, 'bootstrap_95_interval': [0.999175830419921, 1.172949798037078], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0068886337543055, 'bootstrap_95_interval': [1.0046189376443417, 1.0240549828178693], 'signal': 'slower'}}
utf8_empty_regex 1 {'seconds': {'median_paired_ratio': 1.0617513401308507, 'bootstrap_95_interval': [0.9744896049026759, 1.186821631115995], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.010321100917431, 'bootstrap_95_interval': [0.9988532110091743, 1.024], 'signal': 'inconclusive'}}
short_file 0 {'seconds': {'median_paired_ratio': 1.0029638181361793, 'bootstrap_95_interval': [0.9296924614113061, 1.2558719635400568], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9973009446693657, 'bootstrap_95_interval': [0.9905405405405405, 1.002710027100271], 'signal': 'inconclusive'}}
