sum_fields 0 {'seconds': {'median_paired_ratio': 1.0333890029058248, 'bootstrap_95_interval': [0.8758255777231522, 1.0808324564121388], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0119521912350598, 'bootstrap_95_interval': [0.9883268482490273, 1.0277777777777777], 'signal': 'inconclusive'}}
sum_fields 1 {'seconds': {'median_paired_ratio': 1.0398329563989717, 'bootstrap_95_interval': [0.9763091091897647, 1.2482611846299567], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0119521912350598, 'bootstrap_95_interval': [0.9921875, 1.0318725099601593], 'signal': 'inconclusive'}}
regex_fields 0 {'seconds': {'median_paired_ratio': 0.9858078894915908, 'bootstrap_95_interval': [0.8397670545490747, 1.1585909962036651], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0102739726027397, 'bootstrap_95_interval': [0.9932659932659933, 1.0273972602739727], 'signal': 'inconclusive'}}
regex_fields 1 {'seconds': {'median_paired_ratio': 1.0705297252771384, 'bootstrap_95_interval': [0.925158947163831, 1.2298808802273928], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0102739726027397, 'bootstrap_95_interval': [1.0034013605442176, 1.0135135135135136], 'signal': 'slower'}}
array_aggregation 0 {'seconds': {'median_paired_ratio': 1.0927841924219, 'bootstrap_95_interval': [0.9315393922339615, 1.1332648272885755], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0119047619047619, 'bootstrap_95_interval': [0.9845559845559846, 1.0357142857142858], 'signal': 'inconclusive'}}
array_aggregation 1 {'seconds': {'median_paired_ratio': 0.9732456507529289, 'bootstrap_95_interval': [0.9192839176744195, 1.033974642041649], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0158730158730158, 'bootstrap_95_interval': [0.9883720930232558, 1.0316205533596838], 'signal': 'inconclusive'}}
mixed_fields 0 {'seconds': {'median_paired_ratio': 1.0069060490643187, 'bootstrap_95_interval': [0.9815318743487174, 1.0735061094205136], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0154440154440154, 'bootstrap_95_interval': [1.0154440154440154, 1.02734375], 'signal': 'slower'}}
mixed_fields 1 {'seconds': {'median_paired_ratio': 1.0416846425109647, 'bootstrap_95_interval': [0.9689262096282238, 1.1968117691170066], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0038610038610039, 'bootstrap_95_interval': [0.9884169884169884, 1.053231939163498], 'signal': 'inconclusive'}}
mixed_aggregation 0 {'seconds': {'median_paired_ratio': 0.9601479489063446, 'bootstrap_95_interval': [0.908982946758568, 1.086726782658695], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0154440154440154, 'bootstrap_95_interval': [0.9884169884169884, 1.031372549019608], 'signal': 'inconclusive'}}
mixed_aggregation 1 {'seconds': {'median_paired_ratio': 1.023223247192831, 'bootstrap_95_interval': [0.9904953374108219, 1.058353089097503], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.015209125475285, 'bootstrap_95_interval': [0.973384030418251, 1.0436507936507937], 'signal': 'inconclusive'}}
utf8_dynamic_boolean 0 {'seconds': {'median_paired_ratio': 0.9704746814068029, 'bootstrap_95_interval': [0.9539257802416047, 1.1409874639539794], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0096774193548388, 'bootstrap_95_interval': [0.9617834394904459, 1.0468227424749164], 'signal': 'inconclusive'}}
utf8_dynamic_boolean 1 {'seconds': {'median_paired_ratio': 1.0414000647909327, 'bootstrap_95_interval': [0.9105068469693828, 1.2481928290066053], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0100334448160535, 'bootstrap_95_interval': [0.9741935483870968, 1.0468227424749164], 'signal': 'inconclusive'}}
utf8_match_mixed 0 {'seconds': {'median_paired_ratio': 1.0304276936705261, 'bootstrap_95_interval': [0.8403295802448862, 1.098154358424294], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.00990099009901, 'bootstrap_95_interval': [0.9622641509433962, 1.0495049504950495], 'signal': 'inconclusive'}}
utf8_match_mixed 1 {'seconds': {'median_paired_ratio': 0.928488145628079, 'bootstrap_95_interval': [0.8200296016154758, 1.002301336133046], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0095238095238095, 'bootstrap_95_interval': [0.9714285714285714, 1.0858085808580857], 'signal': 'inconclusive'}}
