sum_fields 0 {'seconds': {'median_paired_ratio': 0.9915921111617096, 'bootstrap_95_interval': [0.9849716975924792, 1.0023026149852874], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0031645569620253], 'signal': 'inconclusive'}}
sum_fields 1 {'seconds': {'median_paired_ratio': 0.9937142619348248, 'bootstrap_95_interval': [0.9899036558888338, 1.0031571260470993], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9978969505783386, 1.0], 'signal': 'inconclusive'}}
regex_fields 0 {'seconds': {'median_paired_ratio': 0.9864412807719387, 'bootstrap_95_interval': [0.9647484742390936, 1.000340788109046], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9981998199819982, 1.000901713255185], 'signal': 'inconclusive'}}
regex_fields 1 {'seconds': {'median_paired_ratio': 0.9904469602012477, 'bootstrap_95_interval': [0.9762504390855218, 0.9989959403224902], 'signal': 'faster'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.000900900900901], 'signal': 'inconclusive'}}
array_aggregation 0 {'seconds': {'median_paired_ratio': 1.006317872558008, 'bootstrap_95_interval': [1.00070962426621, 1.0132508321755833], 'signal': 'slower'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9978969505783386, 1.0], 'signal': 'inconclusive'}}
array_aggregation 1 {'seconds': {'median_paired_ratio': 0.9991147392565719, 'bootstrap_95_interval': [0.9939319611978521, 1.0029827782314933], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9989484752891693, 1.0], 'signal': 'inconclusive'}}
mixed_fields 0 {'seconds': {'median_paired_ratio': 0.9993791252891735, 'bootstrap_95_interval': [0.9981609050560916, 1.0070868663680175], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.0031645569620253], 'signal': 'inconclusive'}}
mixed_fields 1 {'seconds': {'median_paired_ratio': 1.0045892316341314, 'bootstrap_95_interval': [0.9999689833146479, 1.0066821504004988], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9978969505783386, 1.0], 'signal': 'inconclusive'}}
mixed_aggregation 0 {'seconds': {'median_paired_ratio': 1.0065517429764446, 'bootstrap_95_interval': [0.9945517926162075, 1.0080757132027292], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9968454258675079, 1.0], 'signal': 'inconclusive'}}
mixed_aggregation 1 {'seconds': {'median_paired_ratio': 1.0072429895357347, 'bootstrap_95_interval': [1.0026861432552434, 1.0098626755346878], 'signal': 'slower'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [0.9978969505783386, 1.0], 'signal': 'inconclusive'}}
utf8_dynamic_boolean 0 {'seconds': {'median_paired_ratio': 0.9971634234221008, 'bootstrap_95_interval': [0.9810688974692103, 1.0021463518184184], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0, 'bootstrap_95_interval': [1.0, 1.001602564102564], 'signal': 'inconclusive'}}
