sum_fields 0 {'seconds': {'median_paired_ratio': 1.0034249192089697, 'bootstrap_95_interval': [0.9871055516407728, 1.0250936781637525], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0008605851979346, 'bootstrap_95_interval': [0.9847844463229078, 1.0211640211640212], 'signal': 'inconclusive'}}
sum_fields 1 {'seconds': {'median_paired_ratio': 1.0051472442511094, 'bootstrap_95_interval': [0.9982275081991825, 1.0545316328379022], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0156794425087108, 'bootstrap_95_interval': [0.9905417024935511, 1.0266323024054982], 'signal': 'inconclusive'}}
regex_fields 0 {'seconds': {'median_paired_ratio': 1.0218176300504669, 'bootstrap_95_interval': [1.017404434173947, 1.0378899233782255], 'signal': 'slower'}, 'rss_bytes': {'median_paired_ratio': 1.0220426157237326, 'bootstrap_95_interval': [0.9710982658959537, 1.041635687732342], 'signal': 'inconclusive'}}
regex_fields 1 {'seconds': {'median_paired_ratio': 1.0172488331124612, 'bootstrap_95_interval': [1.0009303976267785, 1.052608024962931], 'signal': 'slower'}, 'rss_bytes': {'median_paired_ratio': 1.020573108008817, 'bootstrap_95_interval': [0.9763313609467456, 1.0413844996237773], 'signal': 'inconclusive'}}
array_aggregation 0 {'seconds': {'median_paired_ratio': 1.0201792550520898, 'bootstrap_95_interval': [0.9921857940665829, 1.0490739946209966], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0043630017452008, 'bootstrap_95_interval': [0.9829351535836177, 1.014655172413793], 'signal': 'inconclusive'}}
array_aggregation 1 {'seconds': {'median_paired_ratio': 1.0124597203859917, 'bootstrap_95_interval': [0.9637489987601313, 1.0271517214075656], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9906542056074766, 'bootstrap_95_interval': [0.9790268456375839, 1.0166812993854257], 'signal': 'inconclusive'}}
mixed_fields 0 {'seconds': {'median_paired_ratio': 1.0184148597114433, 'bootstrap_95_interval': [0.9942260941174581, 1.0343282966963174], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9940068493150684, 'bootstrap_95_interval': [0.9770212765957447, 1.0059880239520957], 'signal': 'inconclusive'}}
mixed_fields 1 {'seconds': {'median_paired_ratio': 1.0096914484633246, 'bootstrap_95_interval': [0.9841739072846373, 1.0160783246322682], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 1.0008417508417509, 'bootstrap_95_interval': [0.9832355406538139, 1.0172711571675301], 'signal': 'inconclusive'}}
mixed_aggregation 0 {'seconds': {'median_paired_ratio': 1.012699329987011, 'bootstrap_95_interval': [1.001008354296269, 1.0191031186846897], 'signal': 'slower'}, 'rss_bytes': {'median_paired_ratio': 1.0017241379310344, 'bootstrap_95_interval': [0.9948674080410608, 1.0213492741246797], 'signal': 'inconclusive'}}
mixed_aggregation 1 {'seconds': {'median_paired_ratio': 1.013113784971715, 'bootstrap_95_interval': [0.991479653772605, 1.0367124106310008], 'signal': 'inconclusive'}, 'rss_bytes': {'median_paired_ratio': 0.9940978077571669, 'bootstrap_95_interval': [0.9812606473594548, 1.0], 'signal': 'inconclusive'}}
utf8_dynamic_boolean 0 {'seconds': {'median_paired_ratio': 1.0051055191591745, 'bootstrap_95_interval': [1.003720711165135, 1.016151774987517], 'signal': 'slower'}, 'rss_bytes': {'median_paired_ratio': 1.0054458815520761, 'bootstrap_95_interval': [0.9931600547195623, 1.022964509394572], 'signal': 'inconclusive'}}
